USE_YM,RTE_NO,RTE_NM,STOPS_ID,STOPS_ARS_NO,SBWY_STNS_NM,HR_0_GET_ON_TNOPE,HR_0_GET_OFF_TNOPE,HR_1_GET_ON_NOPE,HR_1_GET_OFF_NOPE,HR_2_GET_ON_TNOPE,HR_2_GET_OFF_TNOPE,HR_3_GET_ON_TNOPE,HR_3_GET_OFF_TNOPE,HR_4_GET_ON_TNOPE,HR_4_GET_OFF_TNOPE,HR_5_GET_ON_TNOPE,HR_5_GET_OFF_TNOPE,HR_6_GET_ON_TNOPE,HR_6_GET_OFF_TNOPE,HR_7_GET_ON_TNOPE,HR_7_GET_OFF_TNOPE,HR_8_GET_ON_TNOPE,HR_8_GET_OFF_TNOPE,HR_9_GET_ON_TNOPE,HR_9_GET_OFF_TNOPE,HR_10_GET_ON_TNOPE,HR_10_GET_OFF_TNOPE,HR_11_GET_ON_TNOPE,HR_11_GET_OFF_TNOPE,HR_12_GET_ON_TNOPE,HR_12_GET_OFF_TNOPE,HR_13_GET_ON_TNOPE,HR_13_GET_OFF_TNOPE,HR_14_GET_ON_TNOPE,HR_14_GET_OFF_TNOPE,HR_15_GET_ON_TNOPE,HR_15_GET_OFF_TNOPE,HR_16_GET_ON_TNOPE,HR_16_GET_OFF_TNOPE,HR_17_GET_ON_TNOPE,HR_17_GET_OFF_TNOPE,HR_18_GET_ON_TNOPE,HR_18_GET_OFF_TNOPE,HR_19_GET_ON_TNOPE,HR_19_GET_OFF_TNOPE,HR_20_GET_ON_TNOPE,HR_20_GET_OFF_TNOPE,HR_21_GET_ON_TNOPE,HR_21_GET_OFF_TNOPE,HR_22_GET_ON_TNOPE,HR_22_GET_OFF_TNOPE,HR_23_GET_ON_TNOPE,HR_23_GET_OFF_TNOPE,TRFC_MNS_TYPE_CD,TRFC_MNS_TYPE_NM,REG_YMD
202501,100,100번(하계동~용산구청),108000098,09186,오현초등학교(00018),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.0,48.0,373.0,92.0,399.0,126.0,733.0,181.0,974.0,337.0,694.0,181.0,548.0,266.0,464.0,237.0,644.0,321.0,598.0,355.0,576.0,393.0,447.0,414.0,473.0,490.0,422.0,404.0,331.0,619.0,182.0,553.0,168.0,471.0,150.0,317.0,120.0,407.0,0.0,1.0,010,서울간선버스,20250203
202501,100,100번(하계동~용산구청),108000373,09312,꿈의숲주차장입구(00019),1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,10.0,110.0,13.0,173.0,54.0,269.0,96.0,285.0,102.0,243.0,74.0,270.0,92.0,235.0,101.0,271.0,124.0,340.0,158.0,291.0,175.0,270.0,157.0,284.0,176.0,261.0,166.0,159.0,180.0,90.0,209.0,66.0,170.0,64.0,140.0,73.0,167.0,5.0,2.0,010,서울간선버스,20250203
202501,100,100번(하계동~용산구청),110000286,11387,노원평생학습관(00002),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,6.0,0.0,8.0,0.0,8.0,1.0,13.0,0.0,25.0,0.0,10.0,1.0,10.0,3.0,21.0,0.0,21.0,2.0,9.0,1.0,15.0,1.0,19.0,1.0,14.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,010,서울간선버스,20250203
202501,100,100번(하계동~용산구청),108000099,09187,북서울꿈의숲(00020),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,12.0,179.0,26.0,189.0,29.0,399.0,39.0,459.0,55.0,382.0,57.0,291.0,51.0,283.0,52.0,322.0,66.0,371.0,81.0,325.0,82.0,268.0,92.0,332.0,105.0,283.0,59.0,225.0,90.0,128.0,95.0,128.0,45.0,106.0,73.0,134.0,60.0,2.0,1.0,010,서울간선버스,20250203
202501,100,100번(하계동~용산구청),108000100,09188,송중동한일유엔아이(00021),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,32.0,126.0,81.0,170.0,145.0,232.0,177.0,210.0,292.0,171.0,294.0,109.0,208.0,103.0,226.0,120.0,223.0,134.0,183.0,132.0,207.0,91.0,192.0,97.0,195.0,101.0,207.0,55.0,230.0,41.0,132.0,34.0,111.0,33.0,136.0,40.0,125.0,2.0,0.0,010,서울간선버스,20250203
202501,100,100번(하계동~용산구청),108000101,09189,창문여고앞(00022),23.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,232.0,65.0,128.0,123.0,307.0,159.0,529.0,207.0,608.0,524.0,500.0,373.0,410.0,391.0,458.0,343.0,436.0,384.0,398.0,349.0,325.0,350.0,318.0,396.0,298.0,402.0,328.0,392.0,253.0,406.0,156.0,229.0,140.0,189.0,171.0,197.0,102.0,217.0,14.0,16.0,010,서울간선버스,20250203
202501,100,100번(하계동~용산구청),108000102,09190,숭곡초등학교입구(00023),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,222.0,62.0,266.0,120.0,202.0,164.0,378.0,370.0,452.0,273.0,404.0,232.0,498.0,222.0,459.0,286.0,460.0,295.0,478.0,275.0,435.0,238.0,418.0,211.0,404.0,262.0,387.0,256.0,381.0,156.0,252.0,109.0,190.0,96.0,197.0,62.0,209.0,0.0,4.0,010,서울간선버스,20250203
202501,100,100번(하계동~용산구청),107000001,08001,길음2동주민센터(00024),1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,148.0,79.0,288.0,73.0,211.0,64.0,386.0,163.0,546.0,119.0,592.0,128.0,515.0,158.0,496.0,127.0,486.0,148.0,513.0,196.0,414.0,198.0,391.0,181.0,479.0,208.0,436.0,145.0,395.0,160.0,203.0,131.0,174.0,69.0,154.0,48.0,177.0,6.0,2.0,010,서울간선버스,20250203
202501,100,100번(하계동~용산구청),107000003,08003,길음뉴타운(00025),2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,142.0,195.0,161.0,165.0,276.0,361.0,216.0,567.0,549.0,326.0,426.0,244.0,384.0,195.0,422.0,344.0,487.0,290.0,457.0,324.0,495.0,230.0,431.0,274.0,438.0,221.0,547.0,238.0,491.0,171.0,303.0,152.0,287.0,122.0,293.0,132.0,295.0,19.0,35.0,010,서울간선버스,20250203
202501,100,100번(하계동~용산구청),107000005,08005,미아리고개.미아리예술극장(00026),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,106.0,99.0,83.0,188.0,162.0,394.0,243.0,653.0,455.0,240.0,345.0,239.0,302.0,203.0,293.0,195.0,371.0,181.0,347.0,177.0,358.0,147.0,301.0,196.0,311.0,221.0,328.0,157.0,310.0,94.0,236.0,88.0,187.0,41.0,161.0,32.0,186.0,8.0,25.0,010,서울간선버스,20250203
202501,100,100번(하계동~용산구청),107000007,08007,돈암사거리.성신여대입구(00027),3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,184.0,73.0,150.0,74.0,181.0,101.0,314.0,393.0,668.0,162.0,651.0,129.0,555.0,134.0,591.0,178.0,727.0,168.0,680.0,168.0,721.0,143.0,641.0,189.0,667.0,141.0,730.0,137.0,611.0,118.0,455.0,80.0,352.0,118.0,284.0,116.0,203.0,13.0,32.0,010,서울간선버스,20250203
