rankeddata.stops_nm,rankeddata.adstrd_nm,rankeddata.xcrd,rankeddata.ycrd,rankeddata.total_living_pop,rankeddata.distance_km,rankeddata.daily_total_on,rankeddata.p_norm,rankeddata.b_norm,rankeddata.d_norm,robust_score
공대입구,이촌1동,126.9498437849,37.4549310083,25226,1.63,165013,0.8363499245852187,0.6161387631975868,0.7888386123680241,0.7340120663650076
벽산아파트5단지,이촌1동,126.918946809,37.4467664432,25226,1.96,123521,0.8363499245852187,0.526395173453997,0.9034690799396682,0.7325037707390649
위례신안인스빌.중앙푸르지오,둔촌1동,127.1439249265,37.4757124112,32831,1.52,136044,0.9539969834087482,0.5633484162895928,0.7307692307692307,0.7307692307692307
은곡마을.LH이편한세상,잠실7동,127.1025352444,37.4653476974,10769,2.19,399956,0.37631975867269984,0.8416289592760181,0.9366515837104072,0.7305429864253394
장안동삼성쉐르빌아파트앞,마장동,127.0702110373,37.5723084893,19412,1.3,663456,0.6621417797888386,0.9464555052790347,0.5060331825037707,0.7290346907993966
상일초등학교,상일동,127.1715811881,37.546426778,45359,1.23,308840,0.9796380090497737,0.7858220211161387,0.39668174962292607,0.7272247360482654
서울과학수사연구소.고강동종점,원효로2동,126.8259331584,37.5236309481,16013,1.85,249478,0.5761689291101055,0.7262443438914027,0.8763197586726998,0.7262443438914028
강동리버스트8단지,강일동,127.1770529573,37.5729462716,53256,1.72,96487,0.9849170437405732,0.4479638009049774,0.834841628959276,0.7251131221719458
송파와이즈더샵.위례센트로엘,둔촌1동,127.1440806985,37.4771037831,32831,1.58,123312,0.9539969834087482,0.5256410256410257,0.7616892911010558,0.7249622926093514
세곡중학교.세명초등학교,잠실7동,127.0920469065,37.4704122141,10769,1.62,636132,0.37631975867269984,0.9389140271493213,0.7843137254901961,0.7237556561085973
북한산성입구교차로,평창동,126.9453412916,37.6581874095,19853,2.98,125909,0.7111613876319759,0.5339366515837104,0.9886877828054299,0.723529411764706
서울과학수사연구소입구,원효로2동,126.8369620025,37.5219046542,16013,1.39,542654,0.5761689291101055,0.9049773755656109,0.6282051282051282,0.7233031674208145
���검정.세검정성당,부암동,126.959155798,37.6006470965,11425,1.87,302864,0.4856711915535445,0.777526395173454,0.8838612368024132,0.7218702865761689
세곡중학교.세명초등학교,잠실7동,127.0917980067,37.4702479734,10769,1.63,612720,0.37631975867269984,0.9291101055806938,0.7888386123680241,0.7211915535444947
동일여고.금천사이언스큐브,이촌1동,126.916816,37.449982,25226,2.09,107152,0.8363499245852187,0.4819004524886878,0.920814479638009,0.7199095022624433
위례별초등학교.위례스타힐스,둔촌1동,127.1445584544,37.4803383177,32831,1.42,144674,0.9539969834087482,0.5829562594268477,0.6666666666666666,0.7193815987933635
신화초교.초안아파트,혜화동,127.041467,37.631585,28841,1.47,152785,0.8868778280542986,0.6010558069381599,0.7088989441930619,0.7191553544494721
방학동신동아아파트,평창동,127.0313834612,37.6619831294,19853,1.29,514924,0.7111613876319759,0.8929110105580694,0.4939668174962293,0.7187028657616894
